2026-06-07 00:51:46,079 Grafik sayisi: 1181 | once islenen: 0
2026-06-07 00:51:46,080 OPENAI_API_KEY yok — manuel kayitlar + net_okunabilir:false
2026-06-07 00:51:46,080 2063250939578863720 | net=True | sev=[0, 17000, 19000, 33000, 60000]
2026-06-07 00:51:46,080 2063017474459648445 | net=False | sev=[]
2026-06-07 00:51:46,080 2063015858482401583 | net=False | sev=[]
2026-06-07 00:51:46,080 2063015050097369364 | net=False | sev=[]
2026-06-07 00:51:46,080 2063011904046481813 | net=False | sev=[]
2026-06-07 00:51:46,080 2063011356698202479 | net=False | sev=[]
2026-06-07 00:51:46,080 2063007394876039534 | net=False | sev=[]
2026-06-07 00:51:46,080 2062927746901189039 | net=False | sev=[]
2026-06-07 00:51:46,080 2062923851302904074 | net=False | sev=[]
2026-06-07 00:51:46,080 2062903397364171118 | net=False | sev=[]
2026-06-07 00:51:46,082 2062836260759019975 | net=False | sev=[]
2026-06-07 00:51:46,082 2062835847653691751 | net=False | sev=[]
2026-06-07 00:51:46,082 2062835531017277946 | net=False | sev=[]
2026-06-07 00:51:46,082 2062833390970175812 | net=False | sev=[]
2026-06-07 00:51:46,082 2062613791708160347 | net=False | sev=[]
2026-06-07 00:51:46,082 2062611328687030323 | net=False | sev=[]
2026-06-07 00:51:46,082 2062610640984826181 | net=False | sev=[]
2026-06-07 00:51:46,082 2062600556120555600 | net=False | sev=[]
2026-06-07 00:51:46,082 2062600556120555600 | net=False | sev=[]
2026-06-07 00:51:46,082 2062599087841477043 | net=False | sev=[]
2026-06-07 00:51:46,083 2062590058679382299 | net=False | sev=[]
2026-06-07 00:51:46,083 2062590053986062354 | net=False | sev=[]
2026-06-07 00:51:46,083 2062590048646639930 | net=False | sev=[]
2026-06-07 00:51:46,083 2062590048646639930 | net=False | sev=[]
2026-06-07 00:51:46,083 2062583173666553879 | net=False | sev=[]
2026-06-07 00:51:46,083 2062571183946494304 | net=False | sev=[]
